Nombre,Tipo,NivelBase,CategoriaGO,EtiquetasGO,esBebe,Region,Ataque Base,Defensa Base,Stamina Base,ScorePvE,ScorePvP_GL,ScorePvP_UL,UsoPrincipal,Contadores,EsRaid,EvolucionaA,EvolucionRecomendada,UsoEvolucionRecomendada,ScoreEvolucionRecomendada,CosteCaramelosEvolucionRecomendada,ObjetosEvolucionRecomendada,fechaActualizacion
Nidoran♂,veneno,normal,normal,sombra,no,,105,76,130,36,40,39,coleccionable,hada/planta,no,Nidorino,Nidoking,coleccionable,178,125,,2026-03-30
Nidorino,veneno,normal,normal,sombra,no,,137,111,156,46,46,46,coleccionable,hada/planta,no,Nidoking,Nidoking,coleccionable,178,100,,2026-03-30
Nidoking,veneno/tierra,normal,normal,sombra,no,,204,156,191,65,54,59,coleccionable,electrico/hada/fuego,no,,,,,,,2026-03-30
Clefairy,hada,normal,normal,,no,,107,108,172,43,47,42,coleccionable,siniestro/dragon/lucha,no,Clefable,Clefable,coleccionable,178,50,,2026-03-30
Clefable,hada,normal,normal,,no,,178,162,216,63,58,57,coleccionable,siniestro/dragon/lucha,no,,,,,,,2026-03-30
Vulpix,fuego,normal,normal,sombra,no,,96,109,116,36,42,38,coleccionable,bicho/planta/hielo,no,Ninetales,Ninetales,coleccionable,171,50,,2026-03-30
Ninetales,fuego,normal,normal,sombra,no,,169,190,177,60,56,55,coleccionable,bicho/planta/hielo,no,,,,,,,2026-03-30
Jigglypuff,normal/hada,normal,normal,,no,,80,41,251,41,48,39,coleccionable,siniestro/dragon/lucha,no,Wigglytuff,Wigglytuff,coleccionable,175,50,,2026-03-30
Wigglytuff,normal/hada,normal,normal,,no,,156,90,295,62,58,55,coleccionable,siniestro/dragon/lucha,no,,,,,,,2026-03-30
Zubat,veneno/volador,normal,normal,sombra,no,,83,73,120,31,39,35,coleccionable,bicho/hada/lucha,no,Golbat,Crobat,coleccionable,185,125,,2026-03-30
Golbat,veneno/volador,normal,normal,sombra,no,,161,150,181,56,53,52,coleccionable,bicho/hada/lucha,no,Crobat,Crobat,coleccionable,185,100,,2026-03-30
Oddish,planta/veneno,normal,normal,sombra,no,,131,112,128,42,44,44,coleccionable,hada/planta/tierra,no,Gloom,Vileplume,coleccionable,176,125,,2026-03-30
Gloom,planta/veneno,normal,normal,sombra,no,,153,136,155,51,48,49,coleccionable,hada/planta/tierra,no,Vileplume/Bellossom,Vileplume,coleccionable,176,100,,2026-03-30
Vileplume,planta/veneno,normal,normal,sombra,no,,202,167,181,64,54,58,coleccionable,hada/planta/tierra,no,,,,,,,2026-03-30
Paras,bicho/planta,normal,normal,,no,,121,99,111,38,41,41,coleccionable,siniestro/planta/tierra,no,Parasect,Parasect,coleccionable,156,50,,2026-03-30
Parasect,bicho/planta,normal,normal,,no,,165,146,155,54,50,52,coleccionable,siniestro/planta/tierra,no,,,,,,,2026-03-30
Venonat,bicho/veneno,normal,normal,sombra,no,,100,100,155,39,45,40,coleccionable,siniestro/hada/planta,no,Venomoth,Venomoth,coleccionable,163,50,,2026-03-30
Venomoth,bicho/veneno,normal,normal,sombra,no,,179,143,172,58,51,54,coleccionable,siniestro/hada/planta,no,,,,,,,2026-03-30
Diglett,tierra,normal,normal,sombra,no,,109,78,67,30,34,36,coleccionable,electrico/fuego/veneno,no,Dugtrio,Dugtrio,coleccionable,142,50,,2026-03-30
Dugtrio,tierra,normal,normal,sombra,no,,167,136,111,49,44,49,coleccionable,electrico/fuego/veneno,no,,,,,,,2026-03-30
Meowth,normal,normal,normal,sombra,no,,92,78,120,33,39,36,coleccionable,,no,Persian/Perrserker,Perrserker,coleccionable,172,50,,2026-03-30
Persian,normal,normal,normal,sombra,no,,150,136,163,52,49,49,coleccionable,,no,,,,,,,2026-03-30
Psyduck,agua,normal,normal,sombra,no,,122,95,137,41,42,42,coleccionable,fuego/tierra/roca,no,Golduck,Golduck,coleccionable,174,50,,2026-03-30
Golduck,agua,normal,normal,sombra,no,,191,162,190,63,54,57,coleccionable,fuego/tierra/roca,no,,,,,,,2026-03-30
Mankey,lucha,normal,normal,,no,,148,82,120,42,39,44,coleccionable,siniestro/hielo/normal,no,Primeape,Annihilape,pvp_gl,211,150,,2026-03-30
Primeape,lucha,normal,normal,,no,,207,138,163,61,50,57,coleccionable,siniestro/hielo/normal,no,Annihilape,Annihilape,pvp_gl,211,100,,2026-03-30
Growlithe,fuego,normal,normal,sombra,no,,136,93,146,44,43,44,coleccionable,bicho/planta/hielo,no,Arcanine,Arcanine,coleccionable,196,50,,2026-03-30
Arcanine,fuego,normal,normal,sombra,no,,227,166,207,71,62,63,coleccionable,bicho/planta/hielo,no,,,,,,,2026-03-30
Poliwag,agua,normal,normal,sombra,no,,101,82,120,34,39,38,coleccionable,fuego/tierra/roca,no,Poliwhirl,Poliwrath,coleccionable,184,125,,2026-03-30
Poliwhirl,agua,normal,normal,sombra,no,,130,123,163,47,48,46,coleccionable,fuego/tierra/roca,no,Poliwrath/Politoed,Poliwrath,coleccionable,184,100,,2026-03-30
Poliwrath,agua/lucha,normal,normal,sombra,no,,182,184,207,65,61,58,coleccionable,siniestro/fuego/tierra,no,,,,,,,2026-03-30
Abra,psiquico,normal,normal,sombra,no,,195,82,93,48,37,49,coleccionable,lucha/veneno,no,Kadabra,Alakazam,coleccionable,191,125,,2026-03-30
Kadabra,psiquico,normal,normal,sombra,no,,232,117,120,59,43,57,coleccionable,lucha/veneno,no,Alakazam,Alakazam,coleccionable,191,100,,2026-03-30
Alakazam,psiquico,normal,normal,"mega,sombra",no,,271,167,146,72,53,66,coleccionable,lucha/veneno,no,,,,,,,2026-03-30
Machop,lucha,normal,normal,sombra,no,,137,82,172,46,45,45,coleccionable,siniestro/hielo/normal,no,Machoke,Machamp,coleccionable,198,125,,2026-03-30
Machoke,lucha,normal,normal,sombra,no,,177,125,190,58,51,54,coleccionable,siniestro/hielo/normal,no,Machamp,Machamp,coleccionable,198,100,,2026-03-30
Machamp,lucha,normal,normal,sombra,no,,234,159,207,72,62,64,coleccionable,siniestro/hielo/normal,no,,,,,,,2026-03-30
Bellsprout,planta/veneno,normal,normal,sombra,no,,139,61,137,41,39,43,coleccionable,hada/planta/tierra,no,Weepinbell,Victreebel,coleccionable,174,125,,2026-03-30
Weepinbell,planta/veneno,normal,normal,sombra,no,,172,92,163,51,45,50,coleccionable,hada/planta/tierra,no,Victreebel,Victreebel,coleccionable,174,100,,2026-03-30
Victreebel,planta/veneno,normal,normal,sombra,no,,207,135,190,64,52,58,coleccionable,hada/planta/tierra,no,,,,,,,2026-03-30
Tentacool,agua/veneno,normal,normal,,no,,97,149,120,39,46,41,coleccionable,hada/fuego/planta,no,Tentacruel,Tentacruel,coleccionable,180,50,,2026-03-30
Tentacruel,agua/veneno,normal,normal,,no,,166,209,190,63,61,56,coleccionable,hada/fuego/planta,no,,,,,,,2026-03-30
Geodude,roca/tierra,normal,normal,sombra,no,,132,132,120,44,45,45,coleccionable,bicho/electrico/fuego,no,Graveler,Golem,coleccionable,195,125,,2026-03-30
Graveler,roca/tierra,normal,normal,sombra,no,,164,164,146,54,50,51,coleccionable,bicho/electrico/fuego,no,Golem,Golem,coleccionable,195,100,,2026-03-30
Golem,roca/tierra,normal,normal,sombra,no,,211,198,190,69,64,62,coleccionable,bicho/electrico/fuego,no,,,,,,,2026-03-30
Ponyta,fuego,normal,normal,,no,,170,127,137,51,46,50,coleccionable,bicho/planta/hielo,no,Rapidash,Rapidash,coleccionable,173,50,,2026-03-30
Rapidash,fuego,normal,normal,,no,,207,162,163,63,52,58,coleccionable,bicho/planta/hielo,no,,,,,,,2026-03-30
Slowpoke,agua/psiquico,normal,normal,sombra,no,,109,98,207,46,50,44,coleccionable,lucha/fuego/tierra,no,Slowbro/Slowking,Slowbro,coleccionable,185,50,,2026-03-30
Slowbro,agua/psiquico,normal,normal,"mega,sombra",no,,177,180,216,65,62,58,coleccionable,lucha/fuego/tierra,no,,,,,,,2026-03-30
Magnemite,electrico/acero,normal,normal,sombra,no,,165,121,93,46,41,47,coleccionable,hada/volador/hielo,no,Magneton,Magnezone,coleccionable,202,125,,2026-03-30
Magneton,electrico/acero,normal,normal,sombra,no,,223,169,137,63,50,59,coleccionable,hada/volador/hielo,no,Magnezone,Magnezone,coleccionable,202,100,,2026-03-30
Farfetch’d,normal/volador,normal,normal,regional,no,Asia Oriental,124,115,141,43,45,44,coleccionable,bicho/lucha/planta,no,Sirfetch’d,Sirfetch’d,coleccionable,189,50,,2026-03-30
Doduo,normal/volador,normal,normal,,no,,158,83,111,43,39,45,coleccionable,bicho/lucha/planta,no,Dodrio,Dodrio,coleccionable,169,50,,2026-03-30
Dodrio,normal/volador,normal,normal,,no,,218,140,155,62,49,58,coleccionable,bicho/lucha/planta,no,,,,,,,2026-03-30
Seel,agua,normal,normal,,no,,85,121,163,39,48,40,coleccionable,fuego/tierra/roca,no,Dewgong,Dewgong,coleccionable,167,50,,2026-03-30
Dewgong,agua/hielo,normal,normal,,no,,139,177,207,57,58,52,coleccionable,dragon/fuego/volador,no,,,,,,,2026-03-30
Grimer,veneno,normal,normal,sombra,no,,135,90,190,48,47,46,coleccionable,hada/planta,no,Muk,Muk,coleccionable,193,50,,2026-03-30
Muk,veneno,normal,normal,sombra,no,,190,172,233,68,65,60,coleccionable,hada/planta,no,,,,,,,2026-03-30
Shellder,agua,normal,normal,sombra,no,,116,134,102,39,43,41,coleccionable,fuego/tierra/roca,no,Cloyster,Cloyster,coleccionable,184,50,,2026-03-30
Cloyster,agua/hielo,normal,normal,sombra,no,,186,256,137,64,61,59,coleccionable,dragon/fuego/volador,no,,,,,,,2026-03-30
Gastly,fantasma/veneno,normal,normal,,no,,186,67,102,46,36,48,coleccionable,hada/fantasma/planta,no,Haunter,Gengar,coleccionable,184,125,,2026-03-30
Haunter,fantasma/veneno,normal,normal,,no,,223,107,128,58,43,56,coleccionable,hada/fantasma/planta,no,Gengar,Gengar,coleccionable,184,100,,2026-03-30
Gengar,fantasma/veneno,normal,normal,mega,no,,261,149,155,70,50,64,coleccionable,hada/fantasma/planta,no,,,,,,,2026-03-30
Onix,roca/tierra,normal,normal,,no,,85,232,111,43,54,43,coleccionable,bicho/electrico/fuego,no,Steelix,Steelix,coleccionable,188,50,Metal Coat,2026-03-30
Drowzee,psiquico,normal,normal,sombra,no,,89,136,155,40,48,41,coleccionable,lucha/veneno,no,Hypno,Hypno,coleccionable,171,50,,2026-03-30
Hypno,psiquico,normal,normal,sombra,no,,144,193,198,59,59,53,coleccionable,lucha/veneno,no,,,,,,,2026-03-30
Krabby,agua,normal,normal,,no,,181,124,102,50,42,50,coleccionable,fuego/tierra/roca,no,Kingler,Kingler,coleccionable,184,50,,2026-03-30
Kingler,agua,normal,normal,,no,,240,181,146,68,53,63,coleccionable,fuego/tierra/roca,no,,,,,,,2026-03-30
Voltorb,electrico,normal,normal,sombra,no,,109,111,120,38,42,40,coleccionable,volador/agua,no,Electrode,Electrode,coleccionable,163,50,,2026-03-30
Electrode,electrico,normal,normal,sombra,no,,173,173,155,57,52,54,coleccionable,volador/agua,no,,,,,,,2026-03-30
Exeggcute,planta/psiquico,normal,normal,sombra,no,,107,125,155,42,47,42,coleccionable,lucha/tierra/veneno,no,Exeggutor,Exeggutor,coleccionable,194,50,,2026-03-30
Exeggutor,planta/psiquico,normal,normal,sombra,no,,233,149,216,71,60,63,coleccionable,lucha/tierra/veneno,no,,,,,,,2026-03-30
Cubone,tierra,normal,normal,sombra,no,,90,144,137,39,47,40,coleccionable,electrico/fuego/veneno,no,Marowak,Marowak,coleccionable,158,50,,2026-03-30
Marowak,tierra,normal,normal,sombra,no,,144,186,155,54,53,51,coleccionable,electrico/fuego/veneno,sí,,,,,,,2026-03-30
Hitmonlee,lucha,normal,normal,sombra,no,,224,181,137,64,51,60,coleccionable,siniestro/hielo/normal,no,,,,,,,2026-03-30
Hitmonchan,lucha,normal,normal,sombra,no,,193,197,137,61,53,57,coleccionable,siniestro/hielo/normal,no,,,,,,,2026-03-30
Lickitung,normal,normal,normal,,no,,108,137,207,49,54,46,coleccionable,,no,Lickilicky,Lickilicky,coleccionable,186,100,Sinnoh Stone,2026-03-30
Koffing,veneno,normal,normal,sombra,no,,119,141,120,42,45,43,coleccionable,hada/planta,no,Weezing,Weezing,coleccionable,171,50,,2026-03-30
Weezing,veneno,normal,normal,sombra,no,,174,197,163,60,56,55,coleccionable,hada/planta,no,,,,,,,2026-03-30
Rhyhorn,tierra/roca,normal,normal,,no,,140,127,190,51,51,49,coleccionable,bicho/electrico/fuego,no,Rhydon,Rhyperior,pve,231,125,Sinnoh Stone,2026-03-30
Rhydon,tierra/roca,normal,normal,,no,,222,171,233,73,69,64,coleccionable,bicho/electrico/fuego,no,Rhyperior,Rhyperior,pve,231,100,Sinnoh Stone,2026-03-30
Chansey,normal,normal,normal,,no,,60,128,487,50,80,53,pvp_gl,,no,Blissey,Blissey,pvp_gl,223,50,,2026-03-30
Tangela,planta,normal,normal,sombra,no,,183,169,163,60,53,55,coleccionable,tierra/roca/agua,no,Tangrowth,Tangrowth,coleccionable,202,100,Sinnoh Stone,2026-03-30
Kangaskhan,normal,normal,normal,"mega,regional",no,Australia / Nueva Zelanda,181,165,233,66,62,58,coleccionable,,no,,,,,,,2026-03-30
Horsea,agua,normal,normal,sombra,no,,129,103,102,39,40,42,coleccionable,fuego/tierra/roca,no,Seadra,Kingdra,coleccionable,184,125,Dragon Scale,2026-03-30
Seadra,agua,normal,normal,sombra,no,,187,156,146,57,50,54,coleccionable,fuego/tierra/roca,no,Kingdra,Kingdra,coleccionable,184,100,Dragon Scale,2026-03-30
Goldeen,agua,normal,normal,,no,,123,110,128,41,43,43,coleccionable,fuego/tierra/roca,no,Seaking,Seaking,coleccionable,167,50,,2026-03-30
Seaking,agua,normal,normal,,no,,175,147,190,59,53,55,coleccionable,fuego/tierra/roca,no,,,,,,,2026-03-30
Staryu,agua,normal,normal,,no,,137,112,102,41,41,43,coleccionable,fuego/tierra/roca,no,Starmie,Starmie,coleccionable,176,50,,2026-03-30
Starmie,agua/psiquico,normal,normal,,no,,210,184,155,64,53,59,coleccionable,lucha/fuego/tierra,no,,,,,,,2026-03-30
Mr. Mime,psiquico/hada,normal,normal,regional,no,Europa,192,205,120,60,52,56,coleccionable,siniestro/dragon/lucha,no,Mr. Rime,Mr. Rime,coleccionable,189,50,,2026-03-30
Scyther,bicho/volador,normal,normal,sombra,no,,218,170,172,66,54,60,coleccionable,bicho/siniestro/lucha,no,Scizor,Scizor,coleccionable,192,50,Metal Coat,2026-03-30
Jynx,hielo/psiquico,normal,normal,,no,,223,151,163,65,51,60,coleccionable,dragon/lucha/volador,no,,,,,,,2026-03-30
Electabuzz,electrico,normal,normal,sombra,no,,198,158,163,61,51,57,coleccionable,volador/agua,no,Electivire,Electivire,coleccionable,195,100,Sinnoh Stone,2026-03-30
Magmar,fuego,normal,normal,sombra,no,,206,154,163,62,51,57,coleccionable,bicho/planta/hielo,no,Magmortar,Magmortar,coleccionable,197,100,Sinnoh Stone,2026-03-30
Pinsir,bicho,normal,normal,"mega,sombra",no,,238,182,163,70,57,63,coleccionable,siniestro/planta/psiquico,no,,,,,,,2026-03-30
Tauros,normal,normal,normal,regional,no,Norteamérica,198,183,181,65,58,59,coleccionable,,no,,,,,,,2026-03-30
Magikarp,agua,normal,normal,sombra,no,,29,85,85,19,36,27,coleccionable,fuego/tierra/roca,no,Gyarados,Gyarados,pve,212,400,,2026-03-30
Gyarados,agua/volador,normal,normal,"mega,sombra",no,,237,186,216,75,71,66,pve,bicho/lucha/fuego,no,,,,,,,2026-03-30
Lapras,agua/hielo,normal,normal,sombra,no,,165,174,277,68,71,59,pvp_gl,dragon/fuego/volador,no,,,,,,,2026-03-30
Ditto,normal,normal,normal,,no,,91,91,134,35,42,38,coleccionable,,no,,,,,,,2026-03-30
Eevee,normal,normal,normal,,no,,104,114,146,40,45,41,coleccionable,,no,Vaporeon/Jolteon/Flareon/Espeon/Umbreon/Leafeon/Glaceon/Sylveon,Vaporeon,pvp_gl,211,25,,2026-03-30
Vaporeon,agua,normal,normal,,no,,205,161,277,74,73,64,pvp_gl,fuego/tierra/roca,no,,,,,,,2026-03-30
Jolteon,electrico,normal,normal,,no,,232,182,163,69,57,62,coleccionable,volador/agua,no,,,,,,,2026-03-30
Flareon,fuego,normal,normal,,no,,246,179,163,71,57,64,coleccionable,bicho/planta/hielo,sí,,,,,,,2026-03-30
Porygon,normal,normal,normal,sombra,no,,153,136,163,52,49,50,coleccionable,,no,Porygon2,Porygon-Z,pve,202,125,Sinnoh Stone/Upgrade,2026-03-30
Omanyte,roca/agua,normal,normal,sombra,no,,155,153,111,48,46,48,coleccionable,bicho/fuego/volador,no,Omastar,Omastar,coleccionable,188,50,,2026-03-30
Omastar,roca/agua,normal,normal,sombra,no,,207,201,172,67,60,61,coleccionable,bicho/fuego/volador,no,,,,,,,2026-03-30
Kabuto,roca/agua,normal,normal,,no,,148,140,102,45,44,46,coleccionable,bicho/fuego/volador,no,Kabutops,Kabutops,coleccionable,181,50,,2026-03-30
Kabutops,roca/agua,normal,normal,,no,,220,186,155,66,54,61,coleccionable,bicho/fuego/volador,no,,,,,,,2026-03-30
Aerodactyl,roca/volador,normal,normal,"mega,sombra",no,,221,159,190,68,57,61,coleccionable,bicho/lucha/fuego,no,,,,,,,2026-03-30
Snorlax,normal,normal,normal,sombra,no,,190,169,330,74,84,65,pvp_gl,,no,,,,,,,2026-03-30
Articuno,hielo/volador,legendario,legendario,sombra,no,,192,236,207,71,74,62,pvp_gl,bicho/dragon/lucha,no,,,,,,,2026-03-30
Zapdos,electrico/volador,legendario,legendario,sombra,no,,253,185,207,77,70,68,pve,bicho/lucha/volador,no,,,,,,,2026-03-30
Moltres,fuego/volador,legendario,legendario,sombra,no,,251,181,207,76,69,67,pve,bicho/lucha/planta,no,,,,,,,2026-03-30
Dratini,dragon,normal,normal,sombra,no,,119,91,121,38,41,41,coleccionable,dragon,no,Dragonair,Dragonite,pve,225,125,,2026-03-30
Dragonair,dragon,normal,normal,sombra,no,,163,135,156,53,48,51,coleccionable,dragon,no,Dragonite,Dragonite,pve,225,100,,2026-03-30
Dragonite,dragon/volador,normal,normal,sombra,no,,263,198,209,80,75,70,pve,bicho/dragon/lucha,no,,,,,,,2026-03-30
Mewtwo,psiquico,legendario,legendario,sombra,no,,300,182,214,85,77,76,pve,lucha/veneno,no,,,,,,,2026-03-30
Mew,psiquico,singular,singular,,no,,210,210,225,74,75,64,pvp_gl,lucha/veneno,no,,,,,,,2026-03-30
Chikorita,planta,normal,normal,sombra,no,,92,122,128,37,44,39,coleccionable,tierra/roca/agua,no,Bayleef,Meganium,coleccionable,178,125,,2026-03-30
Bayleef,planta,normal,normal,sombra,no,,122,155,155,47,50,46,coleccionable,tierra/roca/agua,no,Meganium,Meganium,coleccionable,178,100,,2026-03-30
Meganium,planta,normal,normal,sombra,no,,168,202,190,62,60,56,coleccionable,tierra/roca/agua,no,,,,,,,2026-03-30
Cyndaquil,fuego,normal,normal,sombra,no,,116,93,118,38,41,40,coleccionable,bicho/planta/hielo,no,Quilava,Typhlosion,coleccionable,190,125,,2026-03-30
Quilava,fuego,normal,normal,sombra,no,,158,126,151,51,47,49,coleccionable,bicho/planta/hielo,no,Typhlosion,Typhlosion,coleccionable,190,100,,2026-03-30
Typhlosion,fuego,normal,normal,sombra,no,,223,173,186,69,59,62,coleccionable,bicho/planta/hielo,no,,,,,,,2026-03-30
Totodile,agua,normal,normal,sombra,no,,117,109,137,41,44,42,coleccionable,fuego/tierra/roca,no,Croconaw,Feraligatr,coleccionable,192,125,,2026-03-30
Croconaw,agua,normal,normal,sombra,no,,150,142,163,52,50,50,coleccionable,fuego/tierra/roca,no,Feraligatr,Feraligatr,coleccionable,192,100,,2026-03-30
Feraligatr,agua,normal,normal,sombra,no,,205,188,198,68,63,61,coleccionable,fuego/tierra/roca,no,,,,,,,2026-03-30
Sentret,normal,normal,normal,,no,,79,73,111,29,38,34,coleccionable,,no,Furret,Furret,coleccionable,155,25,,2026-03-30
Furret,normal,normal,normal,,no,,148,125,198,54,51,50,coleccionable,,no,,,,,,,2026-03-30
Hoothoot,normal/volador,normal,normal,,no,,67,88,155,33,44,35,coleccionable,bicho/lucha/planta,no,Noctowl,Noctowl,coleccionable,168,50,,2026-03-30
Noctowl,normal/volador,normal,normal,,no,,145,156,225,58,57,53,coleccionable,bicho/lucha/planta,no,,,,,,,2026-03-30
Ledyba,bicho/volador,normal,normal,,no,,72,118,120,33,43,36,coleccionable,bicho/siniestro/lucha,no,Ledian,Ledian,coleccionable,143,25,,2026-03-30
Ledian,bicho/volador,normal,normal,,no,,107,179,146,46,52,45,coleccionable,bicho/siniestro/lucha,no,,,,,,,2026-03-30
Spinarak,bicho/veneno,normal,normal,,no,,105,73,120,35,39,38,coleccionable,siniestro/hada/planta,no,Ariados,Ariados,coleccionable,152,50,,2026-03-30
Ariados,bicho/veneno,normal,normal,,no,,161,124,172,53,49,50,coleccionable,siniestro/hada/planta,no,,,,,,,2026-03-30
Crobat,veneno/volador,normal,normal,sombra,no,,194,178,198,66,60,59,coleccionable,bicho/hada/lucha,no,,,,,,,2026-03-30
Chinchou,agua/electrico,normal,normal,,no,,106,97,181,43,47,42,coleccionable,fuego/volador/tierra,no,Lanturn,Lanturn,coleccionable,175,50,,2026-03-30
Lanturn,agua/electrico,normal,normal,,no,,146,137,268,61,60,54,coleccionable,fuego/volador/tierra,no,,,,,,,2026-03-30
Pichu,electrico,normal,bebe,bebe,sí,,77,53,85,25,33,31,coleccionable,volador/agua,no,Pikachu,Raichu,coleccionable,164,75,,2026-03-30
Cleffa,hada,normal,bebe,bebe,sí,,75,79,137,32,41,35,coleccionable,siniestro/dragon/lucha,no,Clefairy,Clefable,coleccionable,178,75,,2026-03-30
Igglybuff,normal/hada,normal,bebe,bebe,sí,,69,32,207,34,43,35,coleccionable,siniestro/dragon/lucha,no,Jigglypuff,Wigglytuff,coleccionable,175,75,,2026-03-30
Togepi,hada,normal,bebe,bebe,sí,,67,116,111,31,42,34,coleccionable,siniestro/dragon/lucha,no,Togetic,Togekiss,pvp_gl,212,125,Sinnoh Stone,2026-03-30
Togetic,hada/volador,normal,normal,,no,,139,181,146,51,52,49,coleccionable,bicho/siniestro/dragon,no,Togekiss,Togekiss,pvp_gl,212,100,Sinnoh Stone,2026-03-30
Natu,psiquico/volador,normal,normal,,no,,134,89,120,41,40,42,coleccionable,bicho/lucha/planta,no,Xatu,Xatu,coleccionable,164,50,,2026-03-30
